Stato,Capitale,Sigla,Somma di Popolazione
New York,Albany,NY,20201249
Maryland,Annapolis,MD,6177224
Georgia,Atlanta,GA,10711908
Maine,Augusta,ME,1362359
Texas,Austin,TX,29145505
Louisiana,Baton Rouge,LA,4657757
Dakota del Nord,Bismarck,ND,779094
Idaho,Boise,ID,1839106
Massachusetts,Boston,MA,7029917
Nevada,Carson City,NV,3104614
Virginia Occidentale,Charleston,WV,1793716
Wyoming,Cheyenne,WY,576851
Carolina del Sud,Columbia,SC,5118425
Ohio,Columbus,OH,11799448
New Hampshire,Concord,NH,1377529
Colorado,Denver,CO,5773714
Iowa,Des Moines,IA,3190369
Delaware,Dover,DE,989948
Kentucky,Frankfort,KY,4505836
Pennsylvania,Harrisburg,PA,13002700
Connecticut,Hartford,CT,3605944
Montana,Helena,MT,1084225
Hawaii,Honolulu,HI,1455271
Indiana,Indianapolis,IN,6785528
Mississippi,Jackson,MS,2961279
Missouri,Jefferson City,MO,6154913
Alaska,Juneau,AK,733391
Michigan,Lansing,MI,10077331
Nebraska,Lincoln,NE,1961504
Arkansas,Little Rock,AR,3011524
Wisconsin,Madison,WI,5893718
Alabama,Montgomery,AL,5024279
Vermont,Montpelier,VT,643077
Tennessee,Nashville,TN,6910840
Oklahoma,Oklahoma City,OK,3959353
Washington,Olympia,WA,7705281
Arizona,Phoenix,AZ,7151502
Dakota del Sud,Pierre,SD,886667
Carolina del Nord,Raleigh,NC,10439388
Virginia,Richmond,VA,8631393
California,Sacramento,CA,39538223
Minnesota,Saint Paul,MN,5706494
Oregon,Salem,OR,4237256
Utah,Salt Lake City,UT,3271616
Nuovo Messico,Santa Fe,NM,2117522
Illinois,Springfield,IL,12812508
Florida,Tallahassee,FL,21538187
Kansas,Topeka,KS,2937880
New Jersey,Trenton,NJ,9288994
